,part_no,description_mar,on_hand_mar,total_cost_mar,excess_mar,excess_cost_mar,description_jun,on_hand_jun,total_cost_jun,excess_jun,excess_cost_jun,on_hand_change,total_cost_change,excess_change,excess_cost_change
3420,H245584A/3,TB5 COMPRESSOR 15 THOU SHIM,1344.0,,238.0,470.021678,TB5 COMPRESSOR 15 THOU SHIM,1234.0,,18.0,35.571726,-110.0,0.0,-220.0,-434.449952
3434,F245788A,STUD - 5/8 INS X 2.5 INS LG,98.0,,92.0,805.0,STUD - 5/8 INS X 2.5 INS LG,86.0,,44.0,385.0,-12.0,0.0,-48.0,-420.0
3448,D245492A,CT1 STATOR BLADE SEALING STRIP,653.0,,1.0,1.99,,,,,,-653.0,0.0,-1.0,-1.99
3457,H146018B,,,,,,,,72756.5,,,0.0,72756.5,0.0,0.0
3461,H245426A,RETAINER BLOCK,134.0,,92.0,1459.161216,RETAINER BLOCK,133.0,,90.0,1429.40979,-1.0,0.0,-2.0,-29.751426000000038
3465,64/51009011/2,RT IGNITER ASSEMBLY,8.0,,8.0,14095.68,,,,,,-8.0,0.0,-8.0,-14095.68
3467,F245704A,AKZ 1.5 End Plate,92.0,,70.0,28.42,AKZ 1.5 End Plate,70.0,,26.0,10.556,-22.0,0.0,-44.0,-17.864000000000004
3475,RT22219H,"Gasket,Supergraph Lam EQUIV",3.0,,3.0,0.03,,,,,,-3.0,0.0,-3.0,-0.03
3489,F245302A,LOCKING WASHER RT PT IN BRKT,59.0,,53.0,263.499835,LOCKING WASHER RT PT IN BRKT,52.0,,35.0,169.4,-7.0,0.0,-18.0,-94.09983500000001
3496,F245408A,DOWEL,76.0,,52.0,924.368432,DOWEL,76.0,,46.0,817.710536,0.0,0.0,-6.0,-106.65789599999994
3514,F245509A,"DOWEL, 14MM x 35MM O/S",106.0,,47.0,328.157525,"DOWEL, 14MM x 35MM O/S",105.0,,43.0,300.520851,-1.0,0.0,-4.0,-27.636674000000028
3526,RT13383B/4,RT VGV 4 UPRATE,44.0,,15.0,801.109095,RT VGV 4 UPRATE,44.0,,0.0,0.0,0.0,0.0,-15.0,-801.109095
3562,RT33641/6,SEAL STRIP RT PT STATOR,37.0,,32.0,537.92,SEAL STRIP RT PT STATOR,38.0,,35.0,588.35,1.0,0.0,3.0,50.430000000000064
3576,H245321A,SHIM - 0.5MM,345.0,,286.0,1018.11853,SHIM - 0.5MM,343.0,,282.0,1006.000032,-2.0,0.0,-4.0,-12.118497999999931
3580,H245308A,SHIM - 0.5 MM,323.0,,272.0,692.783184,SHIM - 0.5 MM,317.0,,254.0,648.797788,-6.0,0.0,-18.0,-43.98539600000004
3585,H245313A,RT LP BRIDGE SHIM,276.0,,227.0,483.51,RT LP BRIDGE SHIM,376.0,,327.0,1030.467579,100.0,0.0,100.0,546.9575789999999
3587,H245403A,,,,,,RETAINING PLATE (SET OF 6),36.0,,4.0,255.386668,36.0,0.0,4.0,255.386668
